S.No,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive
28,Wulfe,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0.0234113712374581,1
29,Wyl the Whittler,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0066889632107023,1
30,Wyl (guard),,0,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0.0267558528428093,0
31,Wyl Waynwood,,0,,,,,,House Waynwood,,0,0,0,0,0,,,,,0,0,,0,0.0133779264214046,0
32,Wun Weg Wun Dar Wun,,1,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.0501672240802675,1
33,Wylla,,1,,,,,,House Dayne,,1,0,1,0,0,,,,,0,0,,0,0.0267558528428093,1
34,Wynafryd Manderly,,0,,280.0,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25.0,0,0.0568561872909698,1
35,Xhondo,,1,Summer Isles,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
36,Ygon Farwynd,,1,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0.0100334448160535,1
37,Yna,,1,,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
38,Yohn Farwynd,,1,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0.0100334448160535,1
39,Yorkel,,0,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0.0,1
40,Yorko Terys,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0234113712374581,1
41,Yormwell,Maester,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.0033444816053511,1
42,Young Henly,,1,,240.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59.0,0,0.0133779264214046,0
43,Ysilla,,0,,,,,,,Yandry,0,0,0,0,1,,,,1.0,1,0,,0,0.040133779264214,1
44,Zarabelo,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.0066889632107023,1
45,Zei,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0133779264214046,1
46,Zekko,Khal,1,Dothraki,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.0133779264214046,1
47,Zharaq zo Loraq,,1,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0.0100334448160535,1
48,Wenda,,0,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,0.0167224080267558,1
49,Wex Pyke,,1,Ironborn,286.0,,,,House Botley,,0,1,1,1,1,,,,,0,0,19.0,0,0.113712374581939,1
50,Timett,red hand,1,Vale mountain clans,278.0,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27.0,0,0.0735785953177257,1
51,Joffrey Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1.0,0
52,Laenor Velaryon,Ser,1,Valyrian,94.0,,,,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1.0,1,1,26.0,0,0.193979933110367,0
53,Leobald Tallhart,Castellan,1,Northmen,,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1.0,1,1,,0,0.110367892976588,0
54,Maegor I Targaryen,,1,,,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,0,0.705685618729097,0
55,Margaery Tyrell,Seven Kingdoms,0,Reach,283.0,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0.0,1,1,22.0,3,1.0,1
56,Naerys Targaryen,PrincessQueen,0,Valyrian,138.0,,,,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0.0,1,1,100.0,12,0.220735785953177,0
57,Quence,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
58,Quellon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.0468227424749163,1
59,Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,,,,,House Greyjoy,Stonetree,0,0,0,1,0,,,,1.0,1,1,,0,0.0903010033444816,0
60,Quentyn Blackwood,Lord,0,,,,,,House Blackwood,,0,0,0,0,0,,,,,0,1,,0,0.020066889632107,0
61,Quenton Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.060200668896321,1
62,Quhuru Mo,,1,Summer Isles,,,,,,,0,1,0,1,0,,,,,0,0,,0,0.040133779264214,1
63,Quickfinger,,1,,,,,,House Blackfyre,,0,0,0,0,0,,,,,0,0,,0,0.0100334448160535,1
64,Quill,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
65,Quentin Tyrell,Ser,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,0.127090301003344,1
66,Quort,,1,,285.0,,,,wildling,,0,0,1,0,0,,,,,0,0,14.0,0,0.0100334448160535,0
67,Qyle,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,0
68,Rafe,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0066889632107023,1
69,Racallio Ryndoon,,1,Tyroshi,,,,,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,,0,0.0100334448160535,1
70,Ragnor Pyke,,0,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.0100334448160535,1
71,Rainbow Knight,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
72,Randa,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0033444816053511,1
73,Rast,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0.0668896321070234,0
74,Rawney,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.0100334448160535,1
75,Raymar Royce,Lord,1,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0.0133779264214046,1
76,Raymond Nayland,Ser,0,,,,,,House Nayland,,0,0,0,1,0,,,,,0,1,,0,0.0167224080267558,1
77,Raymund Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.127090301003344,1
78,Red Oarsman,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.0167224080267558,1
79,Red Lamb,Ser,1,Lhazarene,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,0.0,1
80,Redtusk,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.0167224080267558,1
81,Red Rolfe,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,0
82,Redwyn,,0,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,0,,0,0.0066889632107023,1
83,Reynard Webber,Lord of Coldmoat,0,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0.0066889632107023,1
84,Reysen,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0234113712374581,1
85,Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,173.0,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1.0,1,1,42.0,3,0.0969899665551839,0
86,Rhaena Targaryen (daughter of Daemon),Lady,0,,116.0,,,,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1.0,1,1,100.0,0,0.1438127090301,0
87,Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,147.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,0.0735785953177257,0
88,Rhaenys Targaryen,Queen,0,Valyrian,-25.0,,,,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0.0,1,1,35.0,1,0.277591973244147,0
89,Rhaenys Targaryen (daughter of Rhaegar),Princess,0,,280.0,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,3.0,10,0.244147157190635,0
90,Rhialta Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
91,Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,74.0,,,,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0.0,1,1,55.0,0,0.1438127090301,0
92,Rhonda Rowan,,0,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,0.0501672240802675,1
93,Richard Farrow,Ser,0,,,,,,House Farrow,,0,0,0,1,0,,,,,0,1,,0,0.0167224080267558,0
94,Richard Lonmouth,Ser,1,,,,,,House Lonmouth,,0,0,1,0,0,,,,,0,1,,0,0.0234113712374581,1
95,Rigney,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.0033444816053511,1
96,Rob,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
97,Rickard Tyrell,,1,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.123745819397993,1
98,Robb Reyne,Ser,1,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,0.0066889632107023,1
99,Robert Ashford,Ser,1,Reach,,,,,House Ashford,,0,0,0,0,0,,,,,0,1,,0,0.0234113712374581,1
100,Robert Brax (son of Flement),,1,,290.0,,,,House Brax,,0,1,1,1,0,,,,,0,0,15.0,0,0.120401337792642,1
101,Robert Paege,Ser,0,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,0.0100334448160535,1
102,Robb Stark,,1,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,1.0,0
103,Robin,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
104,Robert Frey (son of Raymund),,1,,283.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,22.0,0,0.147157190635451,1
105,Robin Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.0635451505016722,1
106,Robin Hollard,,1,,,,,,House Hollard,,0,0,0,1,0,,,,,0,0,,0,0.0267558528428093,1
107,Rodrik Freeborn,,1,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.0133779264214046,1
108,Roelle,Septa,0,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,0.0,1
109,Rodrik Stark (son of Beron),,1,Northmen,,,,,House Stark,Arya Flint,0,0,0,0,1,,,,1.0,1,0,,0,0.100334448160535,1
110,Roger of Pennytree,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0301003344481605,0
111,Roggo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0133779264214046,1
112,Roger Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0.0468227424749163,1
113,Rolder,,1,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0.0,1
114,Roland Crakehall (Kingsguard),Ser,1,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,0.020066889632107,1
115,Rolfe,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0033444816053511,1
116,Rolland Darklyn,Ser,1,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,0.0100334448160535,1
117,Rollam Westerling,,1,,290.0,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15.0,0,0.0434782608695652,1
118,Romny Weaver,,1,Ironborn,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
119,Ronald Storm,,1,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,0.040133779264214,1
120,Ronnel Stout,,0,Northmen,,,,,House Stout,,0,0,1,0,0,,,,,0,0,,0,0.0334448160535117,1
121,Ronnel Harclay,,0,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,0.0133779264214046,1
122,Roone,,1,,286.0,,,,,,0,0,0,1,0,,,,,0,0,19.0,0,0.040133779264214,1
123,Roone (maester),Maester,1,,,,,,,,0,0,1,1,0,,,,,0,1,,0,0.0100334448160535,1
124,Roryn Drumm,,0,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0.0033444816053511,1
125,Roose Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0.0301003344481605,1
126,Rosamund Lannister,,0,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,0.0234113712374581,1
127,Rosey,,0,,284.0,,,,,,0,0,0,1,0,,,,,0,0,21.0,0,0.0301003344481605,1
128,Rowan,,1,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.060200668896321,0
129,Rudge,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0.0,1
130,Runciter,Grand Maester,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.244147157190635,0
131,Rupert Crabb,Ser,0,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0.0066889632107023,1
132,Rus,,0,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0.0100334448160535,1
133,Rusty Flowers,,1,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0.0,1
134,Ryam,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.0133779264214046,1
135,Ryk,,1,Free folk,,,,,,Munda,0,0,1,1,1,,,,1.0,1,0,,0,0.0267558528428093,1
136,Ryles,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.0133779264214046,0
137,Rymolf,,0,Ironborn,,,,,House Greyjoy,,0,0,0,0,0,,,,,0,0,,0,0.0,1
138,S'vrone,,0,Braavosi,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0133779264214046,1
139,Saathos,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0033444816053511,1
140,Sailor's Wife,,0,,,,,,Happy Port,,0,0,0,0,0,,,,,0,0,,0,0.0468227424749163,1
141,Sallor,,1,Qartheen,,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0.0301003344481605,0
142,Salloreon,,1,,,,,,Antler Men,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,1
143,Sam Stoops,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
144,Samwell Spicer,Ser,1,,,,,,House Spicer,,0,0,1,1,0,,,,,0,1,,0,0.0133779264214046,1
145,Sargon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.0535117056856187,1
146,Scarb,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0066889632107023,1
147,Sawwood,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.0100334448160535,1
148,Sedgekins,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0,1
149,Sefton Staunton,Septon,1,,,,,,House Staunton,,0,0,0,0,0,,,,,0,0,,0,0.0301003344481605,1
150,Serra,,0,Lysene,,,,,,Illyrio Mopatis,0,0,0,0,1,,,,1.0,1,0,,0,0.0167224080267558,1
151,Sharna,,0,,,,,,,Husband,0,0,1,1,0,,,,1.0,1,0,,0,0.0367892976588628,1
152,Shella,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.0033444816053511,1
153,Sherrit,King,0,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.0033444816053511,1
154,Shortear,,0,westermen,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0.0133779264214046,1
155,Shyra,,0,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0.020066889632107,1
156,Sigfry Stonetree,,1,Ironborn,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,0.0033444816053511,1
157,Sigrin,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,0.0234113712374581,1
158,Simon Leygood,Ser,0,,,,,,House Leygood,,0,0,0,0,0,,,,,0,1,,0,0.0033444816053511,1
159,Sky Blue Su,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0,1
160,Skinner,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0.0334448160535117,1
161,Skittrick,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0.0066889632107023,1
162,Skyte,,1,Ironborn,,,,,,,0,1,1,1,0,,,,,0,0,,0,0.0234113712374581,1
163,Sloey,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
164,Spare Boot,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.0133779264214046,1
165,Softfoot,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.020066889632107,0
166,Spotted Pate of Maidenpool,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.0133779264214046,0
167,Squint,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.0033444816053511,0
168,Squirrel,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.0434782608695652,0
169,Steffarion Sparr,,1,Ironborn,,,,,House Sparr,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
170,Stafford Lannister,Ser,1,Westerman,246.0,,,,House Lannister,Myranda Lefford,1,1,1,1,1,,,,1.0,1,1,53.0,1,0.170568561872909,0
171,Steffon Fossoway,Ser,1,,,,,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,,0,0.040133779264214,1
172,Steffon Hollard,Ser,0,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0.0267558528428093,1
173,Stannis Baratheon,,1,,,Cassana Estermont,Steffon Baratheon,Shireen Baratheon,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,4,1.0,1
174,Steffon Varner,Lord,1,,,,,,House Varner,,0,1,0,0,0,,,,,0,1,,0,0.0133779264214046,1
175,Stone Thumbs,,0,Free Folk,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.0033444816053511,0
176,Stonehand,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.0100334448160535,1
177,Sybassion,,1,Qarth,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,1
178,Sylas,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.0066889632107023,0
179,Symon Stripeback,,1,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0.0434782608695652,1
180,Symond Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.0468227424749163,1
181,Tagganaro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0301003344481605,1
182,Tal Toraq,,1,Summer Isles,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0.0234113712374581,1
183,Talea,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.020066889632107,1
184,Talla Tarly,,1,,,,,,House Tarly,,0,0,1,0,0,,,,,0,0,,0,0.0702341137123745,1
185,Tansy,,0,,,,,,Peach,,0,0,1,1,0,,,,,0,0,,0,0.0234113712374581,1
186,Tansy (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0066889632107023,1
187,Tarber,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0334448160535117,1
188,Terrance Lynderly,,0,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
189,Terro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.0133779264214046,1
190,Theo Frey,Ser,1,,,,,,House Frey,,1,0,0,0,0,,,,,0,1,,0,0.0133779264214046,1
191,Theobald,Seneschal,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.020066889632107,1
192,Thistle,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.0167224080267558,0
193,Theon Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0568561872909698,1
194,Thormor Ironmaker,,1,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
195,Tim Stone,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.0167224080267558,1
196,Timon,Ser,0,,,,,,,,0,1,1,0,0,,,,,0,1,,0,0.0066889632107023,1
197,Timett (father),,0,Vale mountain clans,,,,,Burned Men,,1,1,0,0,1,,,,,0,0,,0,0.0133779264214046,1
198,Timoth,,1,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0.0066889632107023,1
199,Tobbot,,0,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,0.0100334448160535,1
200,Toefinger,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.0066889632107023,1
201,Todric,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0167224080267558,0
202,Tom Costayne,Ser,0,,,,,,House Costayne,,0,0,0,1,0,,,,,0,1,,0,0.0066889632107023,1
203,TomToo,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,1
204,Tommard Heddle,Ser,1,,,,,,House Heddle,,0,0,0,0,0,,,,,0,1,,0,0.0468227424749163,0
205,Toregg,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0.0267558528428093,1
206,Torrek,,0,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0.0,1
207,Tothmure,Maester,1,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0.0133779264214046,0
208,Torrhen Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0903010033444816,1
209,Tregar,,0,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0.0066889632107023,0
210,Tregar Ormollen,,1,Lyseni,,,,,,,0,1,0,1,0,,,,,0,0,,0,0.0234113712374581,1
211,Tristan Ryger,,0,,,,,,House Ryger,,0,0,1,0,0,,,,,0,0,,0,0.0066889632107023,1
212,Tristifer V Mudd,,1,,,,Tristifer IV Mudd,,,,0,0,0,0,0,,0.0,,,0,0,,0,0.0167224080267558,1
213,Tristimun,Ser,1,,,,,,Sea watch,,0,0,1,0,0,,,,,0,1,,0,0.0,1
214,Tristifer IV Mudd,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.0535117056856187,0
215,Tuffleberry,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.0033444816053511,1
216,Tumberjon,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.0100334448160535,1
217,Tumco Lho,Ser,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,0.0301003344481605,1
218,Turnip,,0,northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0.0167224080267558,1
219,Turquin,Maester,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.0033444816053511,1
220,Tybero Istarion,,1,,,,,,Second Sons,,0,0,0,0,1,,,,,0,0,,0,0.0133779264214046,1
221,Tymor,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.0066889632107023,1
222,Ulf the Ill,,0,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.0133779264214046,0
223,Tywin Frey (son of Raymund),,1,,299.0,,,,House Frey,,0,0,0,1,0,,,,,0,0,6.0,0,0.133779264214046,1
224,Uller,,1,Ironborn,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,0.0234113712374581,1
225,Umar,,0,Vale mountain clans,,,,,Moon Brothers,,1,0,0,0,0,,,,,0,0,,0,0.0066889632107023,1
226,Umfred,,0,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0.0033444816053511,1
227,Umma,,0,,,,,,Faceless Men,,0,0,0,1,0,,,,,0,0,,0,0.0167224080267558,1
